"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Case.Count","Population"
"444",2007,"Nebraska","Thyroid","12.7","226",1783440
"445",2007,"Nevada","Thyroid","10.9","291",2601072
"446",2007,"New Hampshire","Thyroid","14.1","200",1312540
"447",2007,"New Jersey","Thyroid","15.1","1377",8677885
"448",2007,"New Mexico","Thyroid","12.6","251",1990070
"449",2007,"New York","Thyroid","14.8","2960",19132335
"450",2007,"North Carolina","Thyroid","11.7","1106",9118037
"451",2007,"North Dakota","Thyroid","12.5","84",652822
"452",2007,"Ohio","Thyroid","10.7","1260",11500468
"453",2007,"Oklahoma","Thyroid","8.7","321",3634349
"454",2007,"Oregon","Thyroid","11.1","426",3722417
"455",2007,"Pennsylvania","Thyroid","17","2267",12563937
"456",2007,"Rhode Island","Thyroid","19.2","210",1057315
"457",2007,"South Carolina","Thyroid","8.7","402",4444110
"458",2007,"South Dakota","Thyroid","10","78",791623
"459",2007,"Tennessee","Thyroid","12.4","791",6175727
"460",2007,"Texas","Thyroid","10.8","2460",23831983
"461",2007,"United States","Thyroid","11.9","36550",301231207
"462",2007,"Utah","Thyroid","14.5","327",2597746
"463",2007,"Vermont","Thyroid","13.3","89",623481
"464",2007,"Virginia","Thyroid","10.5","845",7751000
"465",2007,"Washington","Thyroid","11.1","739",6461587
"466",2007,"West Virginia","Thyroid","11.6","237",1834052
"467",2007,"Wisconsin","Thyroid","9.7","559",5610775
"468",2007,"Wyoming","Thyroid","12.8","69",534876
"469",2008,"Alabama","Thyroid","9.2","452",4718206
"470",2008,"Alaska","Thyroid","10.7","77",687455
"471",2008,"Arizona","Thyroid","15.5","972",6280362
"472",2008,"Arkansas","Thyroid","8.4","255",2874554
"473",2008,"California","Thyroid","11.1","4039",36604337
"474",2008,"Colorado","Thyroid","12.8","624",4889730
"475",2008,"Connecticut","Thyroid","17","645",3545579
"476",2008,"Delaware","Thyroid","12.1","111",883874
"477",2008,"District of Columbia","Thyroid","13.5","82",580236
"478",2008,"Florida","Thyroid","11.5","2323",18527305
"479",2008,"Georgia","Thyroid","10.8","1027",9504843
"480",2008,"Hawaii","Thyroid","13.7","193",1332213
"481",2008,"Idaho","Thyroid","17.6","260",1534320
"482",2008,"Illinois","Thyroid","12.8","1664",12747038
"483",2008,"Indiana","Thyroid","11.7","759",6424806
"484",2008,"Iowa","Thyroid","13.3","412",3016734
"485",2008,"Kansas","Thyroid","15.4","436",2808076
"486",2008,"Kentucky","Thyroid","13.2","589",4289878
"487",2008,"Louisiana","Thyroid","10.6","481",4435586
"488",2008,"Maine","Thyroid","13.1","190",1330509
"489",2008,"Maryland","Thyroid","12.4","733",5684965
"490",2008,"Massachusetts","Thyroid","19.3","1320",6468967
"491",2008,"Michigan","Thyroid","11.6","1191",9946889
"492",2008,"Minnesota","Thyroid","12.3","659",5247018
"493",2008,"Mississippi","Thyroid","9","272",2947806
"494",2008,"Missouri","Thyroid","12.3","756",5923916
"495",2008,"Montana","Thyroid","13","132",976415
"496",2008,"Nebraska","Thyroid","13.2","241",1796378
"497",2008,"Nevada","Thyroid","14","384",2653630
"498",2008,"New Hampshire","Thyroid","14.4","200",1315906
"499",2008,"New Jersey","Thyroid","16.8","1530",8711090
"500",2008,"New Mexico","Thyroid","12","245",2010662
"501",2008,"New York","Thyroid","16.9","3410",19212436
"502",2008,"North Carolina","Thyroid","12.1","1166",9309449
"503",2008,"North Dakota","Thyroid","13","88",657569
"504",2008,"Ohio","Thyroid","11.6","1397",11515391
"505",2008,"Oklahoma","Thyroid","9.6","364",3668976
"506",2008,"Oregon","Thyroid","12.2","481",3768748
"507",2008,"Pennsylvania","Thyroid","19","2544",12612285
"508",2008,"Rhode Island","Thyroid","19.3","211",1055003
"509",2008,"South Carolina","Thyroid","9.9","469",4528996
"510",2008,"South Dakota","Thyroid","11.9","96",799124
"511",2008,"Tennessee","Thyroid","11.6","765",6247411
"512",2008,"Texas","Thyroid","11.3","2628",24309039
"513",2008,"United States","Thyroid","12.8","40119",304093966
"514",2008,"Utah","Thyroid","14.7","348",2663029
"515",2008,"Vermont","Thyroid","13.5","88",624151
"516",2008,"Virginia","Thyroid","11.5","942",7833496
"517",2008,"Washington","Thyroid","12.9","876",6562231
"518",2008,"West Virginia","Thyroid","12.9","257",1840310
"519",2008,"Wisconsin","Thyroid","11.5","665",5640996
"520",2008,"Wyoming","Thyroid","12.6","70",546043
"521",2009,"Alabama","Thyroid","8.2","407",4757938
"522",2009,"Alaska","Thyroid","12.6","90",698895
"523",2009,"Arizona","Thyroid","15.4","981",6343154
"524",2009,"Arkansas","Thyroid","9","274",2896843
"525",2009,"California","Thyroid","11.6","4300",36961229
"526",2009,"Colorado","Thyroid","14.6","740",4972195
"527",2009,"Connecticut","Thyroid","19.3","730",3561807
"528",2009,"Delaware","Thyroid","12.6","116",891730
"529",2009,"District of Columbia","Thyroid","13.9","87",592228
"530",2009,"Florida","Thyroid","11.9","2411",18652644
"531",2009,"Georgia","Thyroid","10.8","1027",9620846
"532",2009,"Hawaii","Thyroid","15.8","221",1346717
"533",2009,"Idaho","Thyroid","16.7","253",1554439
"534",2009,"Illinois","Thyroid","13.6","1776",12796778
"535",2009,"Indiana","Thyroid","10.7","706",6459325
"536",2009,"Iowa","Thyroid","15.5","476",3032870
"537",2009,"Kansas","Thyroid","15.3","428",2832704
"538",2009,"Kentucky","Thyroid","13.7","624",4317074
"539",2009,"Louisiana","Thyroid","10.4","477",4491648
"540",2009,"Maine","Thyroid","12.8","187",1329590
"541",2009,"Maryland","Thyroid","14.6","876",5730388
"542",2009,"Massachusetts","Thyroid","20.9","1448",6517613
"543",2009,"Michigan","Thyroid","12.6","1299",9901591
"544",2009,"Minnesota","Thyroid","12.1","649",5281203
"545",2009,"Mississippi","Thyroid","10","297",2958774
"546",2009,"Missouri","Thyroid","12.8","792",5961088
"547",2009,"Montana","Thyroid","14.9","155",983982
"548",2009,"Nebraska","Thyroid","14.2","262",1812683
"549",2009,"Nevada","Thyroid","16.7","463",2684665
"550",2009,"New Hampshire","Thyroid","13.2","189",1316102
"551",2009,"New Jersey","Thyroid","19.1","1774",8755602
"552",2009,"New Mexico","Thyroid","14.3","299",2036802
"553",2009,"New York","Thyroid","18.1","3658",19307066
"554",2009,"North Carolina","Thyroid","12.8","1246",9449566
"555",2009,"North Dakota","Thyroid","13.1","90",664968
"556",2009,"Ohio","Thyroid","13","1559",11528896
"557",2009,"Oklahoma","Thyroid","10.1","386",3717572
"558",2009,"Oregon","Thyroid","11","445",3808600
"559",2009,"Pennsylvania","Thyroid","20.4","2747",12666858
"560",2009,"Rhode Island","Thyroid","22.7","246",1053646
"561",2009,"South Carolina","Thyroid","10.2","495",4589872
"562",2009,"South Dakota","Thyroid","14.5","116",807067
"563",2009,"Tennessee","Thyroid","12.7","835",6306019
"564",2009,"Texas","Thyroid","12.1","2885",24801761
"565",2009,"United States","Thyroid","13.6","43001",306771529
"566",2009,"Utah","Thyroid","19.6","461",2723421
"567",2009,"Vermont","Thyroid","15.7","102",624817
"568",2009,"Virginia","Thyroid","12.2","1013",7925937
"569",2009,"Washington","Thyroid","13","901",6667426
"570",2009,"West Virginia","Thyroid","12.1","249",1847775
"571",2009,"Wisconsin","Thyroid","11.8","693",5669264
"572",2009,"Wyoming","Thyroid","10.4","60",559851
"573",2010,"Alabama","Thyroid","8.9","446",4785437
"574",2010,"Alaska","Thyroid","10.8","77",713910
"575",2010,"Arizona","Thyroid","16.7","1081",6407172
"576",2010,"Arkansas","Thyroid","9.8","299",2921964
"577",2010,"California","Thyroid","12.2","4581",37319502
"578",2010,"Colorado","Thyroid","16","825",5047349
"579",2010,"Connecticut","Thyroid","17.7","675",3579114
"580",2010,"Delaware","Thyroid","14.6","141",899593
"581",2010,"District of Columbia","Thyroid","17.8","113",605226
"582",2010,"Florida","Thyroid","11.4","2364",18845537
"583",2010,"Georgia","Thyroid","10","970",9711881
"584",2010,"Hawaii","Thyroid","15.5","220",1363963
"585",2010,"Idaho","Thyroid","16.8","258",1570746
"586",2010,"Illinois","Thyroid","13.6","1781",12840503
"587",2010,"Indiana","Thyroid","11.7","773",6490432
"588",2010,"Iowa","Thyroid","12.9","402",3050745
"589",2010,"Kansas","Thyroid","16.4","474",2858190
"590",2010,"Kentucky","Thyroid","14.2","650",4348181
"591",2010,"Louisiana","Thyroid","11.9","554",4544532
"592",2010,"Maine","Thyroid","12.9","184",1327629
"593",2010,"Maryland","Thyroid","14.4","880",5788645
"594",2010,"Massachusetts","Thyroid","18.7","1306",6566307
"595",2010,"Michigan","Thyroid","13.2","1368",9877510
"596",2010,"Minnesota","Thyroid","11.3","609",5310828
"597",2010,"Mississippi","Thyroid","10.2","312",2970548
"598",2010,"Missouri","Thyroid","12.7","788",5995974
"599",2010,"Montana","Thyroid","16.2","167",990697
"600",2010,"Nebraska","Thyroid","13.9","255",1829542
"601",2010,"Nevada","Thyroid","15.7","446",2702405
"602",2010,"New Hampshire","Thyroid","12.6","186",1316762
"603",2010,"New Jersey","Thyroid","18.7","1756",8799446
"604",2010,"New Mexico","Thyroid","14.9","308",2064552
"605",2010,"New York","Thyroid","18.2","3717",19399878
"606",2010,"North Carolina","Thyroid","13.4","1339",9574323
"607",2010,"North Dakota","Thyroid","10.5","76",674715
"608",2010,"Ohio","Thyroid","13.7","1646",11539336
"609",2010,"Oklahoma","Thyroid","10.1","386",3759944
"610",2010,"Oregon","Thyroid","12.2","484",3837491
"611",2010,"Pennsylvania","Thyroid","20.7","2793",12711160
"612",2010,"Rhode Island","Thyroid","18.8","211",1053959
"613",2010,"South Carolina","Thyroid","10.6","523",4635649
"614",2010,"South Dakota","Thyroid","13.5","114",816166
"615",2010,"Tennessee","Thyroid","13.7","921",6355311
"616",2010,"Texas","Thyroid","12.3","3005",25241971
"617",2010,"United States","Thyroid","13.8","43995",309321666
"618",2010,"Utah","Thyroid","17.8","433",2775332
"619",2010,"Vermont","Thyroid","11.2","75",625879
"620",2010,"Virginia","Thyroid","11.8","996",8023699
"621",2010,"Washington","Thyroid","13.1","904",6742830
"622",2010,"West Virginia","Thyroid","15.1","307",1854239
"623",2010,"Wisconsin","Thyroid","12.4","727",5690475
"624",2010,"Wyoming","Thyroid","14.7","89",564487
"625",2011,"Alabama","Thyroid","9.3","473",4799069
"626",2011,"Alaska","Thyroid","10.5","69",722128
"627",2011,"Arizona","Thyroid","15.7","1024",6472643
"628",2011,"Arkansas","Thyroid","10.2","313",2940667
"629",2011,"California","Thyroid","12.4","4695",37638369
"630",2011,"Colorado","Thyroid","16.1","862",5121108
"631",2011,"Connecticut","Thyroid","19.2","739",3588283
"632",2011,"Delaware","Thyroid","15","142",907381
"633",2011,"District of Columbia","Thyroid","14.1","91",619800
"634",2011,"Florida","Thyroid","11.5","2402",19053237
"635",2011,"Georgia","Thyroid","11.5","1136",9802431
"636",2011,"Hawaii","Thyroid","16.1","231",1379329
"637",2011,"Idaho","Thyroid","15.8","247",1583910
"638",2011,"Illinois","Thyroid","14.1","1884",12867454
"639",2011,"Indiana","Thyroid","11.6","766",6516528
"640",2011,"Iowa","Thyroid","13.3","426",3066336
"641",2011,"Kansas","Thyroid","17","490",2869225
"642",2011,"Kentucky","Thyroid","14.3","662",4369821
"643",2011,"Louisiana","Thyroid","13.4","633",4575625
"644",2011,"Maine","Thyroid","15.5","223",1328284
"645",2011,"Maryland","Thyroid","14.1","864",5839419
"646",2011,"Massachusetts","Thyroid","21","1478",6613583
"647",2011,"Michigan","Thyroid","13","1348",9882412
"648",2011,"Minnesota","Thyroid","12.5","680",5346143
"649",2011,"Mississippi","Thyroid","11","333",2978731
"650",2011,"Missouri","Thyroid","12.4","789",6010275
"651",2011,"Montana","Thyroid","15.3","160",997316
"652",2011,"Nebraska","Thyroid","13.3","249",1840672
"653",2011,"Nevada","Thyroid","16.5","461",2712730
"654",2011,"New Hampshire","Thyroid","14.6","210",1320202
"655",2011,"New Jersey","Thyroid","19.1","1803",8828117
"656",2011,"New Mexico","Thyroid","14.1","301",2080450
"657",2011,"New York","Thyroid","18.9","3912",19499241
"658",2011,"North Carolina","Thyroid","12.5","1262",9657592
"659",2011,"North Dakota","Thyroid","14.2","101",685225
"660",2011,"Ohio","Thyroid","14.3","1732",11544663
"661",2011,"Oklahoma","Thyroid","10.1","392",3788379
"662",2011,"Oregon","Thyroid","13.8","556",3872036
"663",2011,"Pennsylvania","Thyroid","21.1","2884",12745815
"664",2011,"Rhode Island","Thyroid","18.5","208",1053649
"665",2011,"South Carolina","Thyroid","12.2","598",4671994
"666",2011,"South Dakota","Thyroid","12.9","110",823579
"667",2011,"Tennessee","Thyroid","13.9","947",6399291
"668",2011,"Texas","Thyroid","12.2","3051",25645629
"669",2011,"United States","Thyroid","14.1","45803",311556874
"670",2011,"Utah","Thyroid","19.4","479",2814384
"671",2011,"Vermont","Thyroid","13.3","88",627049
"672",2011,"Virginia","Thyroid","12.9","1108",8101155
"673",2011,"Washington","Thyroid","14.2","1011",6826627
"674",2011,"West Virginia","Thyroid","15.6","322",1856301
"675",2011,"Wisconsin","Thyroid","13.1","777",5705288
"676",2011,"Wyoming","Thyroid","14.3","81",567299
"677",2012,"Alabama","Thyroid","8.7","445",4815588
"678",2012,"Alaska","Thyroid","10.9","81",730443
"679",2012,"Arizona","Thyroid","16.4","1090",6554978
"680",2012,"Arkansas","Thyroid","10.3","315",2952164
"681",2012,"California","Thyroid","13","4981",37948800
"682",2012,"Colorado","Thyroid","16.2","877",5192647
"683",2012,"Connecticut","Thyroid","19.8","751",3594547
"684",2012,"Delaware","Thyroid","15.1","142",915179
"685",2012,"District of Columbia","Thyroid","16.2","109",634924
"686",2012,"Florida","Thyroid","12.6","2656",19297822
"687",2012,"Georgia","Thyroid","11.3","1128",9901430
"688",2012,"Hawaii","Thyroid","17","251",1394804
"689",2012,"Idaho","Thyroid","17.1","268",1595324
"690",2012,"Illinois","Thyroid","15.4","2048",12882510
"691",2012,"Indiana","Thyroid","12.4","829",6537703
"692",2012,"Iowa","Thyroid","12.7","406",3076190
"693",2012,"Kansas","Thyroid","17.7","510",2885257
"694",2012,"Kentucky","Thyroid","15.2","710",4386346
"695",2012,"Louisiana","Thyroid","13.1","617",4600972
"696",2012,"Maine","Thyroid","14.3","211",1327729
"697",2012,"Maryland","Thyroid","16.4","1025",5886992
"698",2012,"Massachusetts","Thyroid","20.3","1442",6663005
"699",2012,"Michigan","Thyroid","13.4","1395",9897145
"700",2012,"Minnesota","Thyroid","13.5","759",5376643
"701",2012,"Mississippi","Thyroid","10.4","320",2983816
"702",2012,"Missouri","Thyroid","12.3","785",6024367
"703",2012,"Montana","Thyroid","14.4","154",1003783
"704",2012,"Nebraska","Thyroid","14.5","272",1853303
"705",2012,"Nevada","Thyroid","15.2","431",2743996
"706",2012,"New Hampshire","Thyroid","18.7","268",1324232
"707",2012,"New Jersey","Thyroid","19.4","1833",8844942
"708",2012,"New Mexico","Thyroid","15.2","329",2087309
"709",2012,"New York","Thyroid","19.4","4011",19572932
"710",2012,"North Carolina","Thyroid","12.8","1319",9749476
"711",2012,"North Dakota","Thyroid","18.1","130",701176
"712",2012,"Ohio","Thyroid","14.2","1727",11548923
"713",2012,"Oklahoma","Thyroid","12.5","491",3818814
"714",2012,"Oregon","Thyroid","12.9","533",3899001
"715",2012,"Pennsylvania","Thyroid","21","2879",12767118
"716",2012,"Rhode Island","Thyroid","19.2","218",1054621
"717",2012,"South Carolina","Thyroid","11.8","595",4717354
"718",2012,"South Dakota","Thyroid","12.5","108",833566
"719",2012,"Tennessee","Thyroid","13.3","905",6453898
"720",2012,"Texas","Thyroid","12.7","3230",26084481
"721",2012,"United States","Thyroid","14.6","47518",313830990
"722",2012,"Utah","Thyroid","19.8","509",2853375
"723",2012,"Vermont","Thyroid","15.3","96",626090
"724",2012,"Virginia","Thyroid","12.6","1071",8185080
"725",2012,"Washington","Thyroid","14.2","1024",6897058
"726",2012,"West Virginia","Thyroid","15.8","330",1856872
"727",2012,"Wisconsin","Thyroid","14","833",5719960
"728",2012,"Wyoming","Thyroid","12.3","71",576305
