"","Location"
"978","Lawrence County"
"979","Le Flore County"
"980","Le Sueur County"
"981","Lea County"
"982","Leake County"
"983","Leavenworth County"
"984","Lebanon County"
"985","Lee County"
"986","Leelanau County"
"987","Leflore County"
"988","Lehigh County"
"989","Lemhi County"
"990","Lenawee County"
"991","Lenoir County"
"992","Leon County"
"993","Leslie County"
"994","Letcher County"
"995","Levy County"
"996","Lewis and Clark County"
"997","Lewis County"
"998","Lexington City"
"999","Lexington County"
"1000","Liberty County"
"1001","Licking County"
"1002","Limestone County"
"1003","Lincoln County"
"1004","Lincoln Parish"
"1005","Linn County"
"1006","Lipscomb County"
"1007","Litchfield County"
"1008","Little River County"
"1009","Live Oak County"
"1010","Livingston County"
"1011","Livingston Parish"
"1012","Llano County"
"1013","Logan County"
"1014","Long County"
"1015","Lonoke County"
"1016","Lorain County"
"1017","Los Alamos County"
"1018","Los Angeles County"
"1019","Loudon County"
"1020","Loudoun County"
"1021","Louisa County"
"1022","Louisiana"
"1023","Loup County"
"1024","Love County"
"1025","Loving County"
"1026","Lowndes County"
"1027","Lubbock County"
"1028","Lucas County"
"1029","Luce County"
"1030","Lumpkin County"
"1031","Luna County"
"1032","Lunenburg County"
"1033","Luzerne County"
"1034","Lycoming County"
"1035","Lyman County"
"1036","Lynchburg City"
"1037","Lynn County"
"1038","Lyon County"
"1039","Mackinac County"
"1040","Macomb County"
"1041","Macon County"
"1042","Macoupin County"
"1043","Madera County"
"1044","Madison County"
"1045","Madison Parish"
"1046","Magoffin County"
"1047","Mahaska County"
"1048","Mahnomen County"
"1049","Mahoning County"
"1050","Maine"
"1051","Major County"
"1052","Malheur County"
"1053","Manassas City"
"1054","Manatee County"
"1055","Manistee County"
"1056","Manitowoc County"
"1057","Marathon County"
"1058","Marengo County"
"1059","Maricopa County"
"1060","Maries County"
"1061","Marin County"
"1062","Marinette County"
"1063","Marion County"
"1064","Mariposa County"
"1065","Marlboro County"
"1066","Marquette County"
"1067","Marshall County"
"1068","Martin County"
"1069","Martinsville City"
"1070","Maryland"
"1071","Mason County"
"1072","Massac County"
"1073","Massachusetts"
"1074","Matagorda County"
"1075","Matanuska-Susitna Borough"
"1076","Mathews County"
"1077","Maury County"
"1078","Maverick County"
"1079","Mayes County"
"1080","McClain County"
"1081","McCone County"
"1082","McCook County"
"1083","McCormick County"
"1084","McCracken County"
"1085","McCreary County"
"1086","McCulloch County"
"1087","McCurtain County"
"1088","McDonald County"
"1089","McDonough County"
"1090","McDowell County"
"1091","McDuffie County"
"1092","McHenry County"
"1093","McIntosh County"
"1094","McKean County"
"1095","McKenzie County"
"1096","McKinley County"
"1097","McLean County"
"1098","McLennan County"
"1099","McLeod County"
"1100","McMinn County"
"1101","McMullen County"
"1102","McNairy County"
"1103","McPherson County"
"1104","Meade County"
"1105","Meagher County"
"1106","Mecklenburg County"
"1107","Mecosta County"
"1108","Medina County"
"1109","Meeker County"
"1110","Meigs County"
"1111","Mellette County"
"1112","Menard County"
"1113","Mendocino County"
"1114","Menifee County"
"1115","Menominee County"
"1116","Merced County"
"1117","Mercer County"
"1118","Meriwether County"
"1119","Merrick County"
"1120","Merrimack County"
"1121","Mesa County"
"1122","Metcalfe County"
"1123","Miami County"
"1124","Miami-Dade County"
"1125","Michigan"
"1126","Middlesex County"
"1127","Midland County"
"1128","Mifflin County"
"1129","Milam County"
"1130","Millard County"
"1131","Mille Lacs County"
"1132","Miller County"
"1133","Mills County"
"1134","Milwaukee County"
"1135","Miner County"
"1136","Mineral County"
"1137","Mingo County"
"1138","Minidoka County"
"1139","Minnehaha County"
"1140","Minnesota"
"1141","Missaukee County"
"1142","Mississippi"
"1143","Mississippi County"
"1144","Missoula County"
"1145","Missouri"
"1146","Mitchell County"
"1147","Mobile County"
"1148","Modoc County"
"1149","Moffat County"
"1150","Mohave County"
"1151","Moniteau County"
"1152","Monmouth County"
"1153","Mono County"
"1154","Monona County"
"1155","Monongalia County"
"1156","Monroe County"
"1157","Montague County"
"1158","Montana"
"1159","Montcalm County"
"1160","Monterey County"
"1161","Montezuma County"
"1162","Montgomery County"
"1163","Montmorency County"
"1164","Montour County"
"1165","Montrose County"
"1166","Moody County"
"1167","Moore County"
"1168","Mora County"
"1169","Morehouse Parish"
"1170","Morgan County"
"1171","Morrill County"
"1172","Morris County"
"1173","Morrison County"
"1174","Morrow County"
"1175","Morton County"
"1176","Motley County"
"1177","Moultrie County"
"1178","Mountrail County"
"1179","Mower County"
"1180","Muhlenberg County"
"1181","Multnomah County"
"1182","Murray County"
"1183","Muscatine County"
"1184","Muscogee County"
"1185","Muskegon County"
"1186","Muskingum County"
"1187","Muskogee County"
"1188","Musselshell County"
"1189","Nacogdoches County"
"1190","Nance County"
"1191","Nantucket County"
"1192","Napa County"
"1193","Nash County"
"1194","Nassau County"
"1195","Natchitoches Parish"
"1196","Natrona County"
"1197","Navajo County"
"1198","Navarro County"
"1199","Nebraska"
"1200","Nelson County"
"1201","Nemaha County"
"1202","Neosho County"
"1203","Neshoba County"
"1204","Ness County"
"1205","Nevada"
"1206","Nevada County"
"1207","New Castle County"
"1208","New Hampshire"
"1209","New Hanover County"
"1210","New Haven County"
"1211","New Jersey"
"1212","New Kent County"
"1213","New London County"
"1214","New Madrid County"
"1215","New Mexico"
"1216","New York"
"1217","New York County"
"1218","Newaygo County"
"1219","Newberry County"
"1220","Newport County"
"1221","Newport News City"
"1222","Newton County"
"1223","Nez Perce County"
"1224","Niagara County"
"1225","Nicholas County"
"1226","Nicollet County"
"1227","Niobrara County"
"1228","Noble County"
"1229","Nobles County"
"1230","Nodaway County"
"1231","Nolan County"
"1232","Nome Census Area"
"1233","Norfolk City"
"1234","Norfolk County"
"1235","Norman County"
"1236","North Carolina"
"1237","North Dakota"
"1238","North Slope Borough"
"1239","Northampton County"
"1240","Northumberland County"
"1241","Northwest Arctic Borough"
"1242","Norton City"
"1243","Norton County"
"1244","Nottoway County"
"1245","Nowata County"
"1246","Noxubee County"
"1247","Nuckolls County"
"1248","Nueces County"
"1249","Nye County"
"1250","O'Brien County"
"1251","Oakland County"
"1252","Obion County"
"1253","Ocean County"
"1254","Oceana County"
"1255","Ochiltree County"
"1256","Oconee County"
"1257","Oconto County"
"1258","Ogemaw County"
"1259","Ogle County"
"1260","Oglethorpe County"
"1261","Ohio"
"1262","Ohio County"
"1263","Okaloosa County"
"1264","Okanogan County"
"1265","Okeechobee County"
"1266","Okfuskee County"
"1267","Oklahoma"
"1268","Oklahoma County"
"1269","Okmulgee County"
"1270","Oktibbeha County"
"1271","Oldham County"
"1272","Oliver County"
"1273","Olmsted County"
"1274","Oneida County"
"1275","Onondaga County"
"1276","Onslow County"
"1277","Ontario County"
"1278","Ontonagon County"
"1279","Orange County"
"1280","Orangeburg County"
"1281","Oregon"
"1282","Oregon County"
"1283","Orleans County"
"1284","Orleans Parish"
"1285","Osage County"
"1286","Osborne County"
"1287","Osceola County"
"1288","Oscoda County"
"1289","Oswego County"
"1290","Otero County"
"1291","Otoe County"
"1292","Otsego County"
"1293","Ottawa County"
"1294","Otter Tail County"
"1295","Ouachita County"
"1296","Ouachita Parish"
"1297","Ouray County"
"1298","Outagamie County"
"1299","Overton County"
"1300","Owen County"
"1301","Owsley County"
"1302","Owyhee County"
"1303","Oxford County"
"1304","Ozark County"
"1305","Ozaukee County"
"1306","Pacific County"
"1307","Page County"
"1308","Palm Beach County"
"1309","Palo Alto County"
"1310","Palo Pinto County"
"1311","Pamlico County"
"1312","Panola County"
"1313","Park County"
"1314","Parke County"
"1315","Parker County"
"1316","Parmer County"
"1317","Pasco County"
"1318","Pasquotank County"
"1319","Passaic County"
"1320","Patrick County"
"1321","Paulding County"
"1322","Pawnee County"
"1323","Payette County"
"1324","Payne County"
"1325","Peach County"
"1326","Pearl River County"
"1327","Pecos County"
"1328","Pembina County"
"1329","Pemiscot County"
"1330","Pend Oreille County"
"1331","Pender County"
"1332","Pendleton County"
"1333","Pennington County"
"1334","Pennsylvania"
"1335","Penobscot County"
"1336","Peoria County"
"1337","Pepin County"
"1338","Perkins County"
"1339","Perquimans County"
"1340","Perry County"
"1341","Pershing County"
"1342","Person County"
"1343","Petersburg City"
"1344","Petroleum County"
"1345","Pettis County"
"1346","Phelps County"
"1347","Philadelphia County"
"1348","Phillips County"
"1349","Piatt County"
"1350","Pickaway County"
"1351","Pickens County"
"1352","Pickett County"
"1353","Pierce County"
"1354","Pike County"
"1355","Pima County"
"1356","Pinal County"
"1357","Pine County"
"1358","Pinellas County"
"1359","Pipestone County"
"1360","Piscataquis County"
"1361","Pitkin County"
"1362","Pitt County"
"1363","Pittsburg County"
"1364","Pittsylvania County"
"1365","Piute County"
"1366","Placer County"
"1367","Plaquemines Parish"
"1368","Platte County"
"1369","Pleasants County"
"1370","Plumas County"
"1371","Plymouth County"
"1372","Pocahontas County"
"1373","Poinsett County"
"1374","Pointe Coupee Parish"
"1375","Polk County"
"1376","Pondera County"
"1377","Pontotoc County"
"1378","Pope County"
"1379","Poquoson City"
"1380","Portage County"
"1381","Porter County"
"1382","Portsmouth City"
"1383","Posey County"
"1384","Pottawatomie County"
"1385","Pottawattamie County"
"1386","Potter County"
"1387","Powder River County"
"1388","Powell County"
"1389","Power County"
"1390","Poweshiek County"
"1391","Powhatan County"
"1392","Prairie County"
"1393","Pratt County"
"1394","Preble County"
"1395","Prentiss County"
"1396","Presidio County"
"1397","Presque Isle County"
"1398","Preston County"
"1399","Price County"
"1400","Prince Edward County"
"1401","Prince George County"
"1402","Prince George's County"
"1403","Prince William County, Manassas Park City"
"1404","Providence County"
"1405","Prowers County"
"1406","Pueblo County"
"1407","Pulaski County"
"1408","Pushmataha County"
"1409","Putnam County"
"1410","Quay County"
"1411","Queen Anne's County"
"1412","Queens County"
"1413","Quitman County"
"1414","Rabun County"
"1415","Racine County"
"1416","Radford City"
"1417","Rains County"
"1418","Raleigh County"
"1419","Ralls County"
"1420","Ramsey County"
"1421","Randall County"
"1422","Randolph County"
"1423","Rankin County"
"1424","Ransom County"
"1425","Rapides Parish"
"1426","Rappahannock County"
"1427","Ravalli County"
"1428","Rawlins County"
"1429","Ray County"
"1430","Reagan County"
"1431","Real County"
"1432","Red Lake County"
"1433","Red River County"
"1434","Red River Parish"
"1435","Red Willow County"
"1436","Redwood County"
"1437","Reeves County"
"1438","Refugio County"
"1439","Reno County"
"1440","Rensselaer County"
"1441","Renville County"
"1442","Republic County"
"1443","Reynolds County"
"1444","Rhea County"
"1445","Rhode Island"
"1446","Rice County"
"1447","Rich County"
"1448","Richardson County"
"1449","Richland County"
"1450","Richland Parish"
"1451","Richmond City"
"1452","Richmond County"
"1453","Riley County"
"1454","Ringgold County"
"1455","Rio Arriba County"
"1456","Rio Blanco County"
"1457","Rio Grande County"
"1458","Ripley County"
"1459","Ritchie County"
"1460","Riverside County"
"1461","Roane County"
"1462","Roanoke City"
"1463","Roanoke County"
"1464","Roberts County"
"1465","Robertson County"
"1466","Robeson County"
"1467","Rock County"
"1468","Rock Island County"
"1469","Rockbridge County"
"1470","Rockcastle County"
"1471","Rockdale County"
"1472","Rockingham County"
"1473","Rockland County"
"1474","Rockwall County"
"1475","Roger Mills County"
"1476","Rogers County"
"1477","Rolette County"
"1478","Rooks County"
"1479","Roosevelt County"
"1480","Roscommon County"
"1481","Roseau County"
"1482","Rosebud County"
"1483","Ross County"
"1484","Routt County"
"1485","Rowan County"
"1486","Runnels County"
"1487","Rush County"
"1488","Rusk County"
"1489","Russell County"
"1490","Rutherford County"
"1491","Rutland County"
"1492","Sabine County"
"1493","Sabine Parish"
"1494","Sac County"
"1495","Sacramento County"
"1496","Sagadahoc County"
"1497","Saginaw County"
"1498","Saguache County"
"1499","Salem City"
"1500","Salem County"
"1501","Saline County"
"1502","Salt Lake County"
"1503","Saluda County"
"1504","Sampson County"
"1505","San Augustine County"
"1506","San Benito County"
"1507","San Bernardino County"
"1508","San Diego County"
"1509","San Francisco County"
"1510","San Jacinto County"
"1511","San Joaquin County"
"1512","San Juan County"
"1513","San Luis Obispo County"
"1514","San Mateo County"
"1515","San Miguel County"
"1516","San Patricio County"
"1517","San Saba County"
"1518","Sanborn County"
"1519","Sanders County"
"1520","Sandoval County"
"1521","Sandusky County"
"1522","Sangamon County"
"1523","Sanilac County"
"1524","Sanpete County"
"1525","Santa Barbara County"
"1526","Santa Clara County"
"1527","Santa Cruz County"
"1528","Santa Fe County"
"1529","Santa Rosa County"
"1530","Sarasota County"
"1531","Saratoga County"
"1532","Sargent County"
"1533","Sarpy County"
"1534","Sauk County"
"1535","Saunders County"
"1536","Sawyer County"
"1537","Schenectady County"
"1538","Schleicher County"
"1539","Schley County"
"1540","Schoharie County"
"1541","Schoolcraft County"
"1542","Schuyler County"
"1543","Schuylkill County"
"1544","Scioto County"
"1545","Scotland County"
"1546","Scott County"
"1547","Scotts Bluff County"
"1548","Screven County"
"1549","Scurry County"
"1550","Searcy County"
"1551","Sebastian County"
"1552","Sedgwick County"
"1553","Seminole County"
"1554","Seneca County"
"1555","Sequatchie County"
"1556","Sequoyah County"
"1557","Sevier County"
"1558","Seward County"
"1559","Shackelford County"
"1560","Shannon County"
"1561","Sharkey County"
"1562","Sharp County"
"1563","Shasta County"
"1564","Shawano County"
"1565","Shawnee County"
"1566","Sheboygan County"
"1567","Shelby County"
"1568","Shenandoah County"
"1569","Sherburne County"
"1570","Sheridan County"
"1571","Sherman County"
"1572","Shiawassee County"
"1573","Shoshone County"
"1574","Sibley County"
"1575","Sierra County"
"1576","Silver Bow County"
"1577","Simpson County"
"1578","Sioux County"
"1579","Siskiyou County"
"1580","Sitka City and Borough"
"1581","Skagit County"
"1582","Skamania County"
"1583","Slope County"
"1584","Smith County"
"1585","Smyth County"
"1586","Snohomish County"
"1587","Snyder County"
"1588","Socorro County"
"1589","Solano County"
"1590","Somerset County"
"1591","Somervell County"
"1592","Sonoma County"
"1593","South Carolina"
"1594","South Dakota"
"1595","Southampton County, Franklin City"
"1596","Southeast Fairbanks Census Area"
"1597","Spalding County"
"1598","Spartanburg County"
"1599","Spencer County"
"1600","Spink County"
"1601","Spokane County"
"1602","Spotsylvania County"
"1603","St. Bernard Parish"
"1604","St. Charles County"
"1605","St. Charles Parish"
"1606","St. Clair County"
"1607","St. Croix County"
"1608","St. Francis County"
"1609","St. Francois County"
"1610","St. Helena Parish"
"1611","St. James Parish"
"1612","St. John the Baptist Parish"
"1613","St. Johns County"
"1614","St. Joseph County"
"1615","St. Landry Parish"
"1616","St. Lawrence County"
"1617","St. Louis City"
"1618","St. Louis County"
"1619","St. Lucie County"
"1620","St. Martin Parish"
"1621","St. Mary Parish"
"1622","St. Mary's County"
"1623","St. Tammany Parish"
"1624","Stafford County"
"1625","Stanislaus County"
"1626","Stanley County"
"1627","Stanly County"
"1628","Stanton County"
"1629","Stark County"
"1630","Starke County"
"1631","Starr County"
"1632","Staunton City"
"1633","Ste. Genevieve County"
"1634","Stearns County"
"1635","Steele County"
"1636","Stephens County"
"1637","Stephenson County"
"1638","Sterling County"
"1639","Steuben County"
"1640","Stevens County"
"1641","Stewart County"
"1642","Stillwater County"
"1643","Stoddard County"
"1644","Stokes County"
"1645","Stone County"
"1646","Stonewall County"
"1647","Storey County"
"1648","Story County"
"1649","Strafford County"
"1650","Stutsman County"
"1651","Sublette County"
"1652","Suffolk City"
"1653","Suffolk County"
"1654","Sullivan County"
"1655","Sully County"
"1656","Summers County"
"1657","Summit County"
"1658","Sumner County"
"1659","Sumter County"
"1660","Sunflower County"
"1661","Surry County"
"1662","Susquehanna County"
"1663","Sussex County"
"1664","Sutter County"
"1665","Sutton County"
"1666","Suwannee County"
"1667","Swain County"
"1668","Sweet Grass County"
"1669","Sweetwater County"
"1670","Swift County"
"1671","Swisher County"
"1672","Switzerland County"
"1673","Talbot County"
"1674","Taliaferro County"
"1675","Talladega County"
"1676","Tallahatchie County"
"1677","Tallapoosa County"
"1678","Tama County"
"1679","Taney County"
"1680","Tangipahoa Parish"
"1681","Taos County"
"1682","Tarrant County"
"1683","Tate County"
"1684","Tattnall County"
"1685","Taylor County"
"1686","Tazewell County"
"1687","Tehama County"
"1688","Telfair County"
"1689","Teller County"
"1690","Tennessee"
"1691","Tensas Parish"
"1692","Terrebonne Parish"
"1693","Terrell County"
"1694","Terry County"
"1695","Teton County"
"1696","Texas"
"1697","Texas County"
"1698","Thayer County"
"1699","Thomas County"
"1700","Throckmorton County"
"1701","Thurston County"
"1702","Tift County"
"1703","Tillamook County"
"1704","Tillman County"
"1705","Tioga County"
"1706","Tippah County"
"1707","Tippecanoe County"
"1708","Tipton County"
"1709","Tishomingo County"
"1710","Titus County"
"1711","Todd County"
"1712","Tolland County"
"1713","Tom Green County"
"1714","Tompkins County"
"1715","Tooele County"
"1716","Toole County"
"1717","Toombs County"
"1718","Torrance County"
"1719","Towner County"
"1720","Towns County"
"1721","Traill County"
"1722","Transylvania County"
"1723","Traverse County"
"1724","Travis County"
"1725","Treasure County"
"1726","Trego County"
"1727","Trempealeau County"
"1728","Treutlen County"
"1729","Trigg County"
"1730","Trimble County"
"1731","Trinity County"
"1732","Tripp County"
"1733","Troup County"
"1734","Trousdale County"
"1735","Trumbull County"
"1736","Tucker County"
"1737","Tulare County"
"1738","Tulsa County"
"1739","Tunica County"
"1740","Tuolumne County"
"1741","Turner County"
"1742","Tuscaloosa County"
"1743","Tuscarawas County"
"1744","Tuscola County"
"1745","Twiggs County"
"1746","Twin Falls County"
"1747","Tyler County"
"1748","Tyrrell County"
"1749","Uinta County"
"1750","Uintah County"
"1751","Ulster County"
"1752","Umatilla County"
"1753","Unicoi County"
"1754","Union County"
"1755","Union Parish"
"1756","United States"
"1757","Upshur County"
"1758","Upson County"
"1759","Upton County"
"1760","Utah"
"1761","Utah County"
"1762","Uvalde County"
"1763","Val Verde County"
"1764","Valdez-Cordova Census Area"
"1765","Valencia County"
"1766","Valley County"
"1767","Van Buren County"
"1768","Van Wert County"
"1769","Van Zandt County"
"1770","Vance County"
"1771","Vanderburgh County"
"1772","Venango County"
"1773","Ventura County"
"1774","Vermilion County"
"1775","Vermilion Parish"
"1776","Vermillion County"
"1777","Vermont"
"1778","Vernon County"
"1779","Vernon Parish"
"1780","Victoria County"
"1781","Vigo County"
"1782","Vilas County"
"1783","Vinton County"
"1784","Virginia"
"1785","Virginia Beach City"
"1786","Volusia County"
"1787","Wabash County"
"1788","Wabasha County"
"1789","Wabaunsee County"
"1790","Wade Hampton Census Area"
"1791","Wadena County"
"1792","Wagoner County"
"1793","Wahkiakum County"
"1794","Wake County"
"1795","Wakulla County"
"1796","Waldo County"
"1797","Walker County"
"1798","Walla Walla County"
"1799","Wallace County"
"1800","Waller County"
"1801","Wallowa County"
"1802","Walsh County"
"1803","Walthall County"
"1804","Walton County"
"1805","Walworth County"
"1806","Wapello County"
"1807","Ward County"
"1808","Ware County"
"1809","Warren County"
"1810","Warrick County"
"1811","Wasatch County"
"1812","Wasco County"
"1813","Waseca County"
"1814","Washakie County"
"1815","Washburn County"
"1816","Washington"
"1817","Washington County"
"1818","Washington Parish"
"1819","Washita County"
"1820","Washoe County"
"1821","Washtenaw County"
"1822","Watauga County"
"1823","Watonwan County"
"1824","Waukesha County"
"1825","Waupaca County"
"1826","Waushara County"
"1827","Wayne County"
"1828","Weakley County"
"1829","Webb County"
"1830","Weber County"
"1831","Webster County"
"1832","Webster Parish"
"1833","Wells County"
"1834","West Baton Rouge Parish"
"1835","West Carroll Parish"
"1836","West Feliciana Parish"
"1837","West Virginia"
"1838","Westchester County"
"1839","Westmoreland County"
"1840","Weston County"
"1841","Wetzel County"
"1842","Wexford County"
"1843","Wharton County"
"1844","Whatcom County"
"1845","Wheatland County"
"1846","Wheeler County"
"1847","White County"
"1848","White Pine County"
"1849","Whiteside County"
"1850","Whitfield County"
"1851","Whitley County"
"1852","Whitman County"
"1853","Wibaux County"
"1854","Wichita County"
"1855","Wicomico County"
"1856","Wilbarger County"
"1857","Wilcox County"
"1858","Wilkes County"
"1859","Wilkin County"
"1860","Wilkinson County"
"1861","Will County"
"1862","Willacy County"
"1863","Williams County"
"1864","Williamsburg City"
"1865","Williamsburg County"
"1866","Williamson County"
"1867","Wilson County"
"1868","Winchester City"
"1869","Windham County"
"1870","Windsor County"
"1871","Winkler County"
"1872","Winn Parish"
"1873","Winnebago County"
"1874","Winneshiek County"
"1875","Winona County"
"1876","Winston County"
"1877","Wirt County"
"1878","Wisconsin"
"1879","Wise County"
"1880","Wolfe County"
"1881","Wood County"
"1882","Woodbury County"
"1883","Woodford County"
"1884","Woodruff County"
"1885","Woods County"
"1886","Woodson County"
"1887","Woodward County"
"1888","Worcester County"
"1889","Worth County"
"1890","Wright County"
"1891","Wyandot County"
"1892","Wyandotte County"
"1893","Wyoming"
"1894","Wyoming County"
"1895","Wythe County"
"1896","Yadkin County"
"1897","Yakima County"
"1898","Yalobusha County"
"1899","Yamhill County"
"1900","Yancey County"
"1901","Yankton County"
"1902","Yates County"
"1903","Yavapai County"
"1904","Yazoo County"
"1905","Yell County"
"1906","Yellow Medicine County"
"1907","Yellowstone County"
"1908","Yoakum County"
"1909","Yolo County"
"1910","York County"
"1911","Young County"
"1912","Yuba County"
"1913","Yuma County"
"1914","Zapata County"
"1915","Zavala County"
"1916","Ziebach County"
